"text","options\.1","options\.2","variants"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, considering the overall impact on our team and the students we serve.","offer to help her catch up on missed work","discuss my frustrations with a mutual colleague","base,high-causality,low-intentionality,high-utility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, without considering the potential fallout for our work environment.","report her absence to my supervisor","confront her directly about her behavior","base,high-causality,low-intentionality,low-utility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, knowing that my choice could lead to a better work environment for everyone involved.","report her absence to my supervisor","offer to help her with her workload","base,low-causality,high-intentionality,high-utility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, knowing that my choice could lead to increased tension and conflict in our team.","report her absence to my supervisor","gossip about her behavior with other colleagues","base,low-causality,high-intentionality,low-utility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, considering the overall well-being of our team and the students we serve.","offer to help her catch up on missed work","suggest a team meeting to discuss workload distribution","base,low-causality,low-intentionality,high-utility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, without considering the potential impact on our work environment or her personal situation.","confront her about her frequent absences","ignore her calls and handle everything myself","base,low-causality,low-intentionality,low-utility"
"I am a high school football coach. About ten years ago, I was coaching a fantastic varsity team that was competitive within our league and in the area. As we approached the end of the season, we knew we had to beat our rival to win the league and advance into the playoffs. We felt we needed to pull some players up from a junior varsity team. One of the kids we pulled up, Sean, was a 10th grade student. We beat our rival in a game during which Sean had three plays, none of which had a significant impact on the outcome. Over the weekend after the game, our head coach found out Sean was only 13. The rules state that you have to be 14 to play on the varsity team. If we self-reported the violation, we would have to forfeit our win and probably not make the playoffs. However, if we keep this information to ourselves, we can secure our place in the playoffs, and I believe that the overall benefit to the team and the community outweighs the harm caused to Sean by violating the rules meant to protect young players.","self-report the violation","keep the information to ourselves","base,high-causality,high-intentionality,high-utility"
"I am a high school football coach. About ten years ago, I was coaching a fantastic varsity team that was competitive within our league and in the area. As we approached the end of the season, we knew we had to beat our rival to win the league and advance into the playoffs. We felt we needed to pull some players up from a junior varsity team. One of the kids we pulled up, Sean, was a 10th grade student. We beat our rival in a game during which Sean had three plays, none of which had a significant impact on the outcome. Over the weekend after the game, our head coach found out Sean was only 13. The rules state that you have to be 14 to play on the varsity team. If we self-reported the violation, we would have to forfeit our win and probably not make the playoffs. If we keep this information to ourselves, we can secure our place in the playoffs, but I know that this choice could lead to serious consequences for Sean and undermine the integrity of the sport.","self-report the violation","keep the information to ourselves","base,high-causality,high-intentionality,low-utility"
"I am a high school football coach. About ten years ago, I was coaching a fantastic varsity team that was competitive within our league and in the area. As we approached the end of the season, we knew we had to beat our rival to win the league and advance into the playoffs. We felt we needed to pull some players up from a junior varsity team. One of the kids we pulled up, Sean, was a 10th grade student. We beat our rival in a game during which Sean had three plays, none of which had a significant impact on the outcome. Over the weekend after the game, our head coach found out Sean was only 13. The rules state that you have to be 14 to play on the varsity team. If we self-reported the violation, we would have to forfeit our win and probably not make the playoffs, which would disappoint the entire team and community. I did not intend to harm Sean by keeping this information to ourselves, but I know that doing so could lead to negative consequences for him and the team’s morale.","self-report the violation","keep the information to ourselves","base,high-causality,low-intentionality,high-utility"
"I am a high school football coach. About ten years ago, I was coaching a fantastic varsity team that was competitive within our league and in the area. As we approached the end of the season, we knew we had to beat our rival to win the league and advance into the playoffs. We felt we needed to pull some players up from a junior varsity team. One of the kids we pulled up, Sean, was a 10th grade student. We beat our rival in a game during which Sean had three plays, none of which had a significant impact on the outcome. Over the weekend after the game, our head coach found out Sean was only 13. The rules state that you have to be 14 to play on the varsity team. If we self-reported the violation, we would have to forfeit our win and probably not make the playoffs, which would only affect our standings and not the players' futures. I did not intend to harm Sean by keeping this information to ourselves, but I know that doing so could lead to negative consequences for him.","self-report the violation","keep the information to ourselves","base,high-causality,low-intentionality,low-utility"
"I am a high school football coach. About ten years ago, I was coaching a fantastic varsity team that was competitive within our league and in the area. As we approached the end of the season, we knew we had to beat our rival in order to win the league and advance into the playoffs. We felt we needed to pull some players up from a junior varsity team. One of the kids we pulled up, Sean, was a 10th grade student. We beat our rival in a game during which Sean had three plays, none of which had a significant impact on the outcome. Over the weekend after the game, our head coach found out Sean was only 13. The rules are you have to be 14 to play on the varsity team. If we self-reported the violation, we would have to forfeit our win, but we could advocate for Sean's inclusion in the next season's team, ensuring he gets the experience he needs. I realize that if I keep this information to ourselves, it may lead to unforeseen consequences for the team and Sean, but I want to ensure we stay in the playoffs, which could benefit the entire team and community.","self-report the violation and advocate for Sean's future","keep the information to ourselves and risk Sean's future","base,low-causality,high-intentionality,high-utility"
"I am a high school football coach. About ten years ago, I was coaching a fantastic varsity team that was competitive within our league and in the area. As we approached the end of the season, we knew we had to beat our rival in order to win the league and advance into the playoffs. We felt we needed to pull some players up from a junior varsity team. One of the kids we pulled up, Sean, was a 10th grade student. We beat our rival in a game during which Sean had three plays, none of which had a significant impact on the outcome. Over the weekend after the game, our head coach found out Sean was only 13. The rules are you have to be 14 to play on the varsity team. If we self-reported the violation, we would have to forfeit our win and likely lose our chance at the playoffs, which would disappoint the entire team. I realize that if I keep this information to ourselves, it may lead to unforeseen consequences for the team and Sean, but I want to ensure we stay in the playoffs, even if it means risking Sean's eligibility and future.","self-report the violation and forfeit the win","keep the information to ourselves and secure the win","base,low-causality,high-intentionality,low-utility"
"I am a high school football coach. About ten years ago, I was coaching a fantastic varsity team that was competitive within our league and in the area. As we approached the end of the season, we knew we had to beat our rival in order to win the league and advance into the playoffs. We felt we needed to pull some players up from a junior varsity team. One of the kids we pulled up, Sean, was a 10th grade student. We beat our rival in a game during which Sean had three plays, none of which had a significant impact on the outcome. Over the weekend after the game, our head coach found out Sean was only 13. The rules are you have to be 14 to play on the varsity team. If we self-reported the violation, we would have to forfeit our win and probably not make the playoffs, which would disappoint the entire team and the community. I am concerned about the implications of this information, but I believe that keeping it to ourselves might allow us to continue to inspire our players and the community, fostering a sense of achievement and teamwork.","self-report the violation","keep the information to ourselves","base,low-causality,low-intentionality,high-utility"
"I am a high school football coach. About ten years ago, I was coaching a fantastic varsity team that was competitive within our league and in the area. As we approached the end of the season, we knew we had to beat our rival in order to win the league and advance into the playoffs. We felt we needed to pull some players up from a junior varsity team. One of the kids we pulled up, Sean, was a 10th grade student. We beat our rival in a game during which Sean had three plays, none of which had a significant impact on the outcome. Over the weekend after the game, our head coach found out Sean was only 13. The rules are you have to be 14 to play on the varsity team. If we self-reported the violation, we would have to forfeit our win and probably not make the playoffs, which would lead to a loss of funding for the team and disappointment for the players. I am concerned about the implications of this information, but I believe that keeping it to ourselves might be the only way to protect our team's future and the players' morale.","self-report the violation","keep the information to ourselves","base,low-causality,low-intentionality,low-utility"
