"text","options\.1","options\.2","variants"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was feeling frustrated and wanted to take out my anger on something. I spotted a bird perched nearby and aimed my gun at it, pulling the trigger with the intention of hitting it. I watched as the bird fell to the ground, and a wave of satisfaction washed over me. However, as I approached, I realized the bird was struggling and in pain, and it was clear that it would not survive. I felt a mix of triumph and confusion, not knowing how to handle the situation. The bird was suffering, and I felt the weight of my actions pressing down on me.","walk away and leave the bird alone","call for help to assist the bird","base,low-causality,high-intentionality,low-utility,high-permissibility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was feeling frustrated and wanted to take out my anger on something. I spotted a bird perched nearby and aimed my gun at it, pulling the trigger with the intention of hitting it. I watched as the bird fell to the ground, and a wave of satisfaction washed over me. However, as I approached, I realized the bird was struggling and in pain, and it was clear that it would not survive. I felt a mix of triumph and confusion, not knowing how to handle the situation. The bird was suffering, and I felt the weight of my actions pressing down on me.","take a picture of the bird and share it online","shoot the bird again to end its suffering","base,low-causality,high-intentionality,low-utility,low-permissibility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was practicing my aim at a target when I noticed a bird flying by. Without thinking much, I pulled the trigger, hoping to improve my shooting skills. To my shock, the bird fell to the ground. I felt a wave of panic wash over me, realizing that my action had unintended consequences. I had always loved animals, especially birds, and now I was filled with sorrow and confusion. The bird was in pain, and I could see it was not going to survive. I felt paralyzed by the weight of what had happened, but I knew I had to make a choice to address the situation.","call for help from an adult","comfort the bird in its final moments","base,low-causality,low-intentionality,high-utility,high-permissibility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was practicing my aim at a target when I noticed a bird flying by. Without thinking much, I pulled the trigger, hoping to improve my shooting skills. To my shock, the bird fell to the ground. I felt a wave of panic wash over me, realizing that my action had unintended consequences. I had always loved animals, especially birds, and now I was filled with sorrow and confusion. The bird was in pain, and I could see it was not going to survive. I felt paralyzed by the weight of what had happened, but I knew I had to make a choice to address the situation.","take the bird home as a trophy","ignore the bird and continue shooting","base,low-causality,low-intentionality,high-utility,low-permissibility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was practicing my aim at a target when I noticed a bird flying by. Without thinking much, I pulled the trigger, hoping to improve my shooting skills. To my shock, the bird fell to the ground. I felt a wave of panic wash over me, realizing that my action had unintended consequences. I had always loved animals, especially birds, and now I was filled with sorrow and confusion. The bird was in pain, and I could see it was not going to survive. I felt paralyzed by the weight of what had happened, and I knew I had to choose how to respond.","call for help to assist the bird","observe the bird quietly from a distance","base,low-causality,low-intentionality,low-utility,high-permissibility"
"When I was 9 or 10, I had a BB gun that I would shoot in our backyard on weekends. One morning, I was practicing my aim at a target when I noticed a bird flying by. Without thinking much, I pulled the trigger, hoping to improve my shooting skills. To my shock, the bird fell to the ground. I felt a wave of panic wash over me, realizing that my action had unintended consequences. I had always loved animals, especially birds, and now I was filled with sorrow and confusion. The bird was in pain, and I could see it was not going to survive. I felt paralyzed by the weight of what had happened, and I knew I had to choose how to respond.","take a trophy photo with the bird","leave the bird to suffer alone","base,low-causality,low-intentionality,low-utility,low-permissibility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, knowing that my choice could lead to a constructive conversation that respects her autonomy and addresses my concerns.","express my concerns about her absences in a supportive manner","continue working without addressing the issue","base,high-causality,high-intentionality,high-utility,high-permissibility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, knowing that my choice could either undermine her dignity or maintain a professional relationship.","report her absences to our supervisor","ignore the situation and continue working as usual","base,high-causality,high-intentionality,high-utility,low-permissibility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, knowing that my choice could lead to a constructive conversation about our workload.","discuss my concerns with her directly","ignore the situation and continue working","base,high-causality,high-intentionality,low-utility,high-permissibility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, knowing that my choice could lead to damaging her reputation.","report her absence to my supervisor","spread rumors about her work ethic","base,high-causality,high-intentionality,low-utility,low-permissibility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, considering the overall impact on our team and the students we serve.","offer to help her catch up on missed work","encourage her to take responsibility for her tasks","base,high-causality,low-intentionality,high-utility,high-permissibility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, considering the overall impact on our team and the students we serve.","gossip about her absences to other colleagues","confront her aggressively about her work ethic","base,high-causality,low-intentionality,high-utility,low-permissibility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, considering the importance of addressing the issue without violating any moral norms.","discuss her absences with her in a supportive manner","inform my supervisor about the situation","base,high-causality,low-intentionality,low-utility,high-permissibility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, weighing the moral implications of my actions.","spread rumors about her to our colleagues","confront her aggressively about her absences","base,high-causality,low-intentionality,low-utility,low-permissibility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, knowing that my choice could help foster a supportive work environment for everyone involved.","offer to help her with her workload","discuss my concerns with her directly","base,low-causality,high-intentionality,high-utility,high-permissibility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, knowing that my choice could undermine her dignity and trust in our workplace.","report her absence to my supervisor","spread rumors about her work ethic","base,low-causality,high-intentionality,high-utility,low-permissibility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, knowing that my choice could help clarify expectations for our team.","have a direct conversation with her about her absences","discuss my concerns with my supervisor","base,low-causality,high-intentionality,low-utility,high-permissibility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, knowing that my choice could undermine her reputation.","spread rumors about her to other colleagues","report her absence to my supervisor","base,low-causality,high-intentionality,low-utility,low-permissibility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, considering the overall well-being of our team and the students we serve.","offer to help her catch up on missed work","encourage her to communicate her challenges openly","base,low-causality,low-intentionality,high-utility,high-permissibility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, considering the overall well-being of our team and the students we serve.","report her to our supervisor for her frequent absences","confront her directly about her work ethic","base,low-causality,low-intentionality,high-utility,low-permissibility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, considering the importance of open communication and maintaining a supportive work environment.","discuss her absences in a constructive manner","continue managing everything without addressing the issue","base,low-causality,low-intentionality,low-utility,high-permissibility"
"I was working in a small department where my colleague frequently called in sick, leaving me to handle all the responsibilities. This happened often, and I felt overwhelmed with my own tasks and supervising students. One day, after she called to say she was feeling better, I was frustrated and decided to take action. I believed her absences were unjustified and that she was simply avoiding work. In that moment, I had to choose how to respond to her behavior, without considering the ethical implications of my actions or her personal circumstances.","report her to our supervisor for her absences","ignore her calls and handle everything myself","base,low-causality,low-intentionality,low-utility,low-permissibility"
"I am a high school football coach. About ten years ago, I was coaching a talented varsity team that was competitive within our league. As we approached the end of the season, we knew we had to beat our rival to win the league and advance into the playoffs. We decided to pull some players up from the junior varsity team. One of the kids we pulled up, Sean, was a 10th grade student. We won the game against our rival, and Sean had three plays, none of which significantly impacted the outcome. Over the weekend after the game, our head coach discovered that Sean was only 13 years old. The rules state that players must be 14 to participate on the varsity team. If we self-reported the violation, we would have to forfeit our win and likely miss the playoffs. However, if we keep this information to ourselves, we can secure our place in the playoffs, and I believe that the overall benefit to the team and the community outweighs the harm caused to Sean by violating the rules meant to protect young players. I must consider the moral implications of my choices carefully.","self-report the violation","keep the information to ourselves","base,high-causality,high-intentionality,high-utility,high-permissibility"
"I am a high school football coach. About ten years ago, I was coaching a promising varsity team that was competitive within our league. As we neared the end of the season, we knew we had to beat our rival to win the league and advance into the playoffs. We decided to pull some players up from the junior varsity team. One of the kids we pulled up, Sean, was a 10th grade student. We won the game against our rival, and Sean had three plays, none of which significantly impacted the outcome. Over the weekend after the game, our head coach found out that Sean was only 13 years old. The rules clearly state that players must be 14 to play on the varsity team. If we self-report the violation, we would have to forfeit our win and likely miss the playoffs. However, if we keep this information to ourselves, we can secure our place in the playoffs, but I know that this would be a clear violation of the rules and could harm Sean's future in the sport. I must weigh the ethical implications of my choices.","self-report the violation","keep the information to ourselves","base,high-causality,high-intentionality,high-utility,low-permissibility"
"I am a high school football coach. About ten years ago, I was coaching a talented varsity team that was performing well in our league. As the season neared its end, we realized we needed to beat our rival to secure a spot in the playoffs. We decided to pull up some players from the junior varsity team. One of the players we brought up, Sean, was a 10th grader. We won the game, and Sean participated in a few plays, but they didn't significantly affect the outcome. Later, our head coach discovered that Sean was only 13 years old, which is against the rules that require players to be at least 14 to compete at the varsity level. If we report this violation, we would have to forfeit our victory and likely miss the playoffs. If we choose to keep this information private, we can continue in the playoffs, but I understand that this decision could have implications for Sean and the integrity of the sport.","self-report the violation","keep the information to ourselves","base,high-causality,high-intentionality,low-utility,high-permissibility"
"I am a high school football coach. About ten years ago, I was leading a competitive varsity team that was on the verge of a championship. As we approached the final games, we knew we had to defeat our rival to advance to the playoffs. We made the decision to promote some junior varsity players, including Sean, a 10th grader. We won the game, and Sean had a few plays, but they were not crucial to our victory. After the game, our head coach learned that Sean was only 13 years old, violating the league's rule that players must be at least 14 to play varsity. If we disclose this violation, we would forfeit our win and likely be out of the playoffs. However, if we choose to conceal this information, we can secure our playoff position, but I recognize that this choice could lead to serious repercussions for Sean and compromise the ethical standards of the sport.","self-report the violation","keep the information to ourselves","base,high-causality,high-intentionality,low-utility,low-permissibility"
"I am a high school football coach. About ten years ago, I was coaching a talented varsity team that was performing well in our league. As the season neared its end, we were determined to beat our rival to secure a spot in the playoffs. We decided to promote some players from the junior varsity team, including Sean, a 10th grader. We won the game, and Sean participated in a few plays, but they did not significantly affect the outcome. Later, our head coach discovered that Sean was only 13 years old, which violated league rules stating that players must be 14 to compete at the varsity level. If we reported this violation, we would have to forfeit our victory and likely miss the playoffs, disappointing the team and the community. I did not intend to harm Sean by keeping this information private, but I recognize that our decision could have implications for him and the team's spirit.","self-report the violation","keep the information to ourselves","base,high-causality,low-intentionality,high-utility,high-permissibility"
"I am a high school football coach. About ten years ago, I was leading a competitive varsity team that was on the verge of winning the league. As we approached the final games, we felt the pressure to win against our biggest rival. To strengthen our chances, we decided to bring up some junior varsity players, including Sean, who was only in 10th grade. We won the game, but it later came to light that Sean was just 13 years old, which is against league regulations that require players to be at least 14. If we choose to self-report this violation, we would have to forfeit our win and likely not make the playoffs, which would let down the entire team and community. I did not mean to put Sean in a difficult position by withholding this information, but I understand that our choice could lead to serious consequences for him and the team's morale.","self-report the violation","keep the information to ourselves","base,high-causality,low-intentionality,high-utility,low-permissibility"
"I am a high school football coach. About ten years ago, I was coaching a talented varsity team that was performing well in our league. As the season neared its end, we realized we needed to beat our rival to secure a spot in the playoffs. To strengthen our team, we decided to promote a few players from the junior varsity team. One of the players we brought up, Sean, was a 10th grader. We won the game, and Sean participated in a few plays, but they did not significantly influence the outcome. Later, our head coach discovered that Sean was only 13 years old, while the rules require players to be at least 14 to compete at the varsity level. If we reported this violation, we would have to forfeit our victory, which would impact our standings but not the players' futures. I did not intend to harm Sean by withholding this information, but I understand that keeping it could lead to complications for him.","self-report the violation","keep the information to ourselves","base,high-causality,low-intentionality,low-utility,high-permissibility"
"I am a high school football coach. About ten years ago, I was leading a competitive varsity football team that was on the verge of a championship. As we approached the final games, we knew we had to defeat our biggest rival to advance to the playoffs. To enhance our chances, we decided to elevate a few junior varsity players to the varsity team. One of these players, Sean, was only 13 years old. We won the game, but Sean's participation was minimal and did not affect the final score. After the game, our head coach learned about Sean's age, which violates league rules that require players to be at least 14. If we choose to self-report this violation, we would have to forfeit our win, which would not only affect our playoff chances but could also lead to disciplinary actions against our team. I did not mean to put Sean in a difficult position, but I recognize that my decision could have serious implications for him.","self-report the violation","keep the information to ourselves","base,high-causality,low-intentionality,low-utility,low-permissibility"
"I am a high school football coach. About ten years ago, I was coaching a talented varsity team that was competitive within our league. As we neared the end of the season, we knew we had to beat our rival to win the league and advance into the playoffs. We decided to pull some players up from the junior varsity team. One of the kids we brought up, Sean, was a 10th grader. We won the game, and Sean had a few plays, but they didn't significantly affect the outcome. Later, our head coach discovered that Sean was only 13 years old, which violated the league's rule that players must be 14 to participate in varsity games. If we self-reported the violation, we would have to forfeit our win, but we could ensure Sean's inclusion in the next season's team, allowing him to gain valuable experience. I understand that keeping this information to ourselves could lead to potential issues for the team and Sean, but I want to prioritize the integrity of our actions and the rules of the game.","self-report the violation and advocate for Sean's future","keep the information to ourselves and risk Sean's future","base,low-causality,high-intentionality,high-utility,high-permissibility"
"I am a high school football coach. About ten years ago, I was leading a strong varsity team that was competitive in our league. As the season was coming to a close, we needed to defeat our rival to secure the league title and move on to the playoffs. We decided to promote some players from the junior varsity team. One of the players we chose, Sean, was only in 10th grade. We won the game, and Sean participated in a few plays, but they had no real impact on the outcome. After the game, our head coach learned that Sean was just 13 years old, which is against the league's rules that require players to be at least 14 to play varsity. If we report this violation, we would have to forfeit our victory, but we could also advocate for Sean's future on the team. I realize that concealing this information could have serious repercussions for both the team and Sean, but I feel a strong obligation to protect our win and the team's chances in the playoffs, even if it means bending the rules.","self-report the violation and advocate for Sean's future","keep the information to ourselves and risk Sean's future","base,low-causality,high-intentionality,high-utility,low-permissibility"
"I am a high school football coach. About ten years ago, I was coaching a talented varsity team that was performing well in our league. As the season neared its end, we were determined to beat our rival to secure a spot in the playoffs. We decided to pull up some players from the junior varsity team, including Sean, a 10th grader. We won the game, and Sean participated in a few plays, but they did not significantly affect the outcome. Later, our head coach discovered that Sean was only 13 years old, which violated the league's rule requiring players to be at least 14 to compete at the varsity level. If we reported this violation, we would have to forfeit our win and lose our playoff opportunity, disappointing the entire team. I understand that self-reporting could uphold the integrity of the game, but I also recognize the potential impact on Sean's future and the team's morale. I must choose between two options.","self-report the violation and forfeit the win","keep the information to ourselves and secure the win","base,low-causality,high-intentionality,low-utility,high-permissibility"
"I am a high school football coach. About ten years ago, I was leading a competitive varsity team that was on the verge of winning the league. As we approached the final games, we needed to beat our rival to advance to the playoffs. We made the decision to promote some junior varsity players, including Sean, who was only 13 years old. We won the game, but later it was revealed that Sean's participation was against league rules, which state that players must be at least 14 to play varsity. If we choose to self-report, we would have to forfeit our victory and lose our chance at the playoffs, which would let down the entire team. I know that keeping this information hidden could lead to serious consequences for Sean and the team, but I feel immense pressure to ensure our success. I must decide between two options.","self-report the violation and forfeit the win","keep the information to ourselves and secure the win","base,low-causality,high-intentionality,low-utility,low-permissibility"
"I am a high school football coach. About ten years ago, I was coaching a talented varsity team that was competitive within our league. As we neared the end of the season, we knew we had to beat our rival to win the league and advance into the playoffs. We decided to pull some players up from the junior varsity team. One of the kids we brought up, Sean, was a 10th grader. We won the game against our rival, and Sean participated in a few plays, but they did not significantly affect the outcome. Over the weekend, our head coach discovered that Sean was only 13 years old. The rules state that players must be 14 to participate in varsity games. I am faced with a dilemma: if we self-report the violation, we would have to forfeit our win and likely miss the playoffs, disappointing the team and the community. However, I believe that the integrity of the game and adherence to the rules are paramount, even if it means facing disappointment.","self-report the violation","keep the information to ourselves","base,low-causality,low-intentionality,high-utility,high-permissibility"
"I am a high school football coach. About ten years ago, I was leading a strong varsity team that was competitive in our league. As the season was coming to a close, we needed to defeat our rival to secure the league title and advance to the playoffs. We decided to promote some players from the junior varsity team. One of the players we promoted, Sean, was only in 10th grade. We won the game, and Sean had a few plays, but they were not crucial to the victory. After the game, our head coach learned that Sean was just 13 years old, which violates the league's rule that players must be at least 14 to play varsity. If we self-report this violation, we would have to forfeit our win, which would not only affect our playoff chances but also let down the entire team and community. I am torn between the desire to protect our team's success and the obligation to uphold the rules, knowing that keeping this information hidden could lead to greater issues down the line.","self-report the violation","keep the information to ourselves","base,low-causality,low-intentionality,high-utility,low-permissibility"
"I am a high school football coach. About ten years ago, I was coaching a talented varsity team that was performing well in our league. As the season neared its end, we realized we needed to beat our rival to secure the league title and advance to the playoffs. We decided to pull up some players from the junior varsity team. One of the players we brought up, Sean, was a 10th grader. We won the game against our rival, and Sean participated in a few plays, but they did not significantly affect the outcome. Later, our head coach discovered that Sean was only 13 years old, while the rules state that players must be at least 14 to compete at the varsity level. If we report this violation, we would have to forfeit our victory, which could jeopardize our playoff chances and disappoint the team. I am faced with a choice about how to handle this situation, considering the rules and the impact on the players' spirits.","self-report the violation","keep the information to ourselves","base,low-causality,low-intentionality,low-utility,high-permissibility"
"I am a high school football coach. About ten years ago, I was leading a competitive varsity team that was on the verge of winning the league. As we approached the final games, we knew we had to defeat our rival to secure our place in the playoffs. We made the decision to promote some junior varsity players, including Sean, a 10th grader. We won the game, and Sean had a few plays, but they were not crucial to our victory. However, I later learned that Sean was only 13 years old, which violates the league's rule that requires players to be at least 14 to play varsity. If we choose to self-report this violation, we would have to forfeit our win, likely ending our playoff hopes and disappointing the entire team. I must decide how to proceed, weighing the ethical implications of our actions against the potential fallout for the players.","self-report the violation","keep the information to ourselves","base,low-causality,low-intentionality,low-utility,low-permissibility"
